USER_ID,ITEM_ID,RATING,TIMESTAMP
196,242,3,2024-12-04T15:55:49.000
186,302,3,2025-04-04T19:22:22.000
22,377,1,2024-11-07T07:18:36.000
244,51,2,2024-11-27T05:02:03.000
166,346,1,2025-02-02T05:33:16.000
298,474,4,2025-01-07T14:20:06.000
115,265,2,2024-12-03T17:51:28.000
253,465,5,2025-04-03T18:34:27.000
305,451,3,2025-02-01T09:20:17.000
6,86,3,2024-12-31T21:16:53.000
62,257,2,2024-11-12T22:07:14.000
286,1014,5,2024-11-17T15:38:45.000
200,222,5,2024-10-05T09:05:40.000
210,40,3,2025-03-27T21:59:54.000
224,29,3,2025-02-21T23:40:57.000
303,785,3,2024-11-14T05:28:38.000
122,387,5,2024-11-11T17:47:39.000
194,274,2,2024-11-14T20:36:34.000
291,1042,4,2024-09-21T09:42:24.000
234,1184,2,2025-04-08T23:47:17.000
119,392,4,2025-01-30T16:13:34.000
167,486,4,2025-04-16T14:54:12.000
299,144,4,2024-10-26T15:55:20.000
291,118,2,2024-09-21T09:24:38.000
308,1,4,2025-02-17T17:28:52.000
95,546,2,2024-11-10T21:16:06.000
38,95,5,2025-04-13T01:14:54.000
102,768,2,2025-01-02T13:40:50.000
63,277,4,2024-10-01T23:10:01.000
160,234,5,2024-10-14T20:33:05.000
50,246,3,2024-10-17T01:38:49.000
301,98,4,2024-12-14T05:03:47.000
225,193,4,2024-11-14T20:35:27.000
290,88,4,2024-11-28T15:46:03.000
97,194,3,2025-01-08T05:54:20.000
157,274,4,2025-02-07T22:33:55.000
181,1081,1,2024-11-08T04:17:03.000
278,603,5,2025-03-30T22:02:10.000
276,796,1,2024-09-20T21:45:32.000
7,32,4,2025-03-31T13:28:52.000
10,16,4,2024-10-26T18:01:17.000
284,304,4,2025-01-20T20:48:42.000
201,979,2,2025-01-06T19:17:13.000
276,564,3,2024-09-20T21:43:25.000
287,327,5,2024-09-27T04:18:36.000
246,201,5,2025-01-16T03:33:14.000
242,1137,5,2024-11-17T04:33:16.000
249,241,5,2024-11-16T00:46:34.000
99,4,5,2025-02-03T15:18:17.000
178,332,3,2024-12-22T20:43:57.000
251,100,4,2025-01-31T18:38:04.000
81,432,2,2024-10-11T01:58:51.000
260,322,4,2025-03-23T02:08:18.000
